product_id,image_url,sort_order
11024,https://storage.yandexcloud.net/mysakura/173329873727_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,2
11024,https://storage.yandexcloud.net/mysakura/173397871022_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,3
11024,https://storage.yandexcloud.net/mysakura/174312007826_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,4
11024,https://storage.yandexcloud.net/mysakura/174313457231_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,5
11024,https://storage.yandexcloud.net/mysakura/673555f67c6c5983427703_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,6
11024,https://storage.yandexcloud.net/mysakura/673ae950a636e856242038_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,7
11024,https://storage.yandexcloud.net/mysakura/673d6cb29d83a187610541_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,8
11024,https://storage.yandexcloud.net/mysakura/673d981e71476029740900_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,9
11031,https://storage.yandexcloud.net/mysakura/0000_15_717_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,0
11031,https://storage.yandexcloud.net/mysakura/0000_15_999_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,1
11031,https://storage.yandexcloud.net/mysakura/0000_16_329_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,2
11031,https://storage.yandexcloud.net/mysakura/163816961074_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,3
11031,https://storage.yandexcloud.net/mysakura/164981993750_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,4
11031,https://storage.yandexcloud.net/mysakura/165890160613_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,5
11031,https://storage.yandexcloud.net/mysakura/172733117243_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,6
11031,https://storage.yandexcloud.net/mysakura/172733117940_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,7
11031,https://storage.yandexcloud.net/mysakura/172966265395_p470.jpg?response-content-type=image%2Fjpg&response-cache-control=public%2C+max-age%3D31536000,8
